ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
1898 0.0155706404443786 3.12101 4.31644 51.85331 4.36157 51.85084 1662 39.368
1929 NA 0.36074 4.48922 51.88983 4.49054 51.88669 1662 38.077
143 0.38805142488791 1.27572 4.37257 52.00021 4.35449 51.99756 1662 39.245
140 0.0626207983546993 0.84529 4.34508 52.00245 4.35449 51.99756 1662 39.207
150 0.208998926116714 0.98829 4.34993 52.00598 4.35449 51.99756 1662 38.339
3253 0.117559945240639 1.74575 4.31691 52.05309 4.31086 52.03785 1662 37.978
3258 0 1.46422 4.36163 52.07593 4.34094 52.0792 1662 37.978
149 0.424768567001757 1.24005 4.32191 52.03016 4.334 52.03844 1662 37.999
151 0.559115644069097 0.90265 4.33214 52.03526 4.32191 52.03016 1662 39.252
156 0.271483827105159 1.78888 4.35846 51.98166 4.35449 51.99756 1662 39.245
145 0.170505874646581 1.14329 4.31086 52.03785 4.32191 52.03016 1662 39.256
158 0.385650655696865 1.65195 4.37226 52.00757 4.35449 51.99756 1662 39.361
146 0.238209349796603 0.88825 4.35479 51.98908 4.36763 51.99005 1662 37.986
220 0.393712347621383 0.88825 4.36763 51.99005 4.35479 51.98908 1662 39.245
152 0.109121259052248 1.74575 4.31086 52.03785 4.31691 52.05309 1662 39.239
154 0.25099608389344 0.84529 4.35771 52.05059 4.35555 52.04311 1662 37.978
160 0.462512106758893 1.14329 4.32191 52.03016 4.31086 52.03785 1662 37.996
155 0.339602744091095 2.0744 4.3847 51.99758 4.35449 51.99756 1662 39.364
148 0.143684124943032 1.34458 4.31014 52.01327 4.29055 52.01311 1662 39.252
251 0.174606787161122 5.91205 4.34662 52.05048 4.35449 51.99756 1662 39.245
225 0.144806720308341 1.33415 4.36121 52.00881 4.35449 51.99756 1662 39.26
227 0.234158328009239 0.90265 4.32191 52.03016 4.33214 52.03526 1662 37.992
219 0.332321066888366 0.60848 4.36224 52.00021 4.35449 51.99756 1662 39.239
224 0 0.74285 4.66468 52.13109 4.65576 52.13489 1662 38.084
218 0.15644373186091 1.24005 4.334 52.03844 4.32191 52.03016 1662 39.26
234 0.352514906857338 1.48772 4.35449 51.99756 4.33736 51.98938 1662 37.922
228 0.0104031754464908 4.61284 4.40021 52.08385 4.46483 52.09547 1662 39.239
239 0 2.0266 4.36997 52.06403 4.37514 52.08196 1662 39.245
232 0.390431178237363 1.34458 4.29055 52.01311 4.31014 52.01327 1662 37.992
153 0.594078023004985 1.48772 4.33736 51.98938 4.35449 51.99756 1662 39.182
229 0.090206937780563 3.55608 4.37508 52.11393 4.37514 52.08196 1662 39.375
231 0.0638481874107329 0.89415 4.64683 52.12263 4.63641 52.12748 1662 37.978
3256 0.462944723708471 4.26817 4.34099 51.98498 4.27888 51.98392 1662 39.172
241 0 0.92709 4.67704 52.14403 4.68016 52.15214 1662 39.375
244 0.27210592513259 0.78402 4.35449 51.99756 4.34582 51.99297 1662 37.94
226 0.0515033826657261 1.01475 4.35038 52.0613 4.33736 52.05697 1662 39.245
235 0.113840431025302 1.67819 4.34099 51.98498 4.35449 51.99756 1662 39.228
142 0 2.09379 4.39937 52.09343 4.37514 52.08196 1662 39.343
230 0 1.9765 4.39901 52.07201 4.37514 52.08196 1662 39.343
247 0.0247308100981865 2.04163 4.60259 52.13311 4.63137 52.13793 1662 39.172
255 0 0.95686 4.368 52.03913 4.35558 52.04305 1662 37.992
256 0.669407999978845 1.27572 4.35449 51.99756 4.37257 52.00021 1662 37.986
233 0.144836697556175 1.42215 4.38982 52.03968 4.40737 52.04649 1662 38.077
238 0.336119542087942 2.46431 4.66843 52.11736 4.63641 52.12748 1662 37.992
2906 0 4.61284 4.46483 52.09547 4.40021 52.08385 1662 37.978
243 0.279805081183162 7.44754 4.45869 51.97903 4.35449 51.99756 1662 26.078
248 0.243712290483142 8.79473 4.48251 51.99996 4.35449 51.99756 1662 19.067
